,feature,coefficient
4624,conflicts,0.20238004716052413
12139,liberty,0.20236743137482557
6501,drop,0.20216881017525934
3607,cash,0.20215976158681168
4846,coordinate,0.20179542325299474
22953,warfighter,0.20178560851046554
23818,zombie,0.20099447072149318
8004,finds,0.2009847643646222
19931,starting,0.20098132614147105
21941,twice,0.20071590279360682
3210,building,0.2006963980775337
11869,landers,0.2005245766071939
11676,killed,0.200171144333925
21903,turn,0.20010660043443534
2286,basketball,0.20001954228609853
17259,relive,0.19986221201794466
9756,havoc,0.1997941268493735
15519,physics,0.19978383307715364
10959,instant,0.19970841356744584
9895,hells,0.19932567625551684
12137,liberation,0.19932185581673798
5259,culinary,0.19928434343638982
8268,food,0.19909438125826293
11702,kingdom,0.19864169162053447
10364,humans,0.19845177694256658
3491,capture,0.19828123113329513
2066,awesome,0.1980527086329862
5625,defend,0.19798775977955432
10183,homes,0.19754518711496058
198,1930s,0.1974611695790075
1805,assassination,0.19724582293712736
5048,crash,0.19715239667044732
5698,delta,0.19714088479170788
21424,titans,0.1970487141970458
5707,demands,0.19677175151655488
14752,operation,0.1966797457382777
1498,anthology,0.1966029566357206
4390,combines,0.19645097831936667
22761,violent,0.1962993357479964
6310,door,0.19622905200297508
17920,round,0.19585038955062695
11318,james,0.19576139593010233
19691,spinetingling,0.1957500184449033
7086,entertainment,0.19563195808345527
15387,period,0.19547827799365797
19953,stats,0.19526412078421487
9601,hand,0.19484224740646017
6648,earlier,0.19477576663811602
12902,matters,0.19476169113763944
23627,xplane,0.19472480949785684
8077,fitness,0.19470722445848976
18382,scroll,0.19467740402532058
17904,rosters,0.19450132006013868
22893,waiting,0.19447643524437064
20205,strogg,0.19446045141020946
9819,heart,0.19425568407864516
11561,karaoke,0.1942512243801698
3666,cause,0.19378620257001045
6536,dual,0.1935757934999413
5109,creativity,0.1935604611746043
22032,ultima,0.19320944144285962
19358,snuff,0.1927436481107496
7110,entirely,0.19259942083182746
5111,creator,0.1925339772960527
22529,value,0.19224143095924298
1227,allowing,0.19217670782111843
19429,solving,0.19215808236048115
18802,shooters,0.1918473352371217
19195,slide,0.1916572788361583
20129,strange,0.19164050341489958
3662,catz,0.19140661745660242
7695,fan,0.1911071138476074
3685,cd,0.19094191506304678
13993,near,0.1907367962789607
2511,berlin,0.1906791128628412
21594,toy,0.19066714326806278
7072,ensure,0.19044530014711378
6067,disc,0.18999424454980052
5461,dawn,0.18977735198572185
19829,ssx,0.18969385935056976
12876,match,0.18950026024417774
19328,sniper,0.18949558475848255
7002,engage,0.1890946018786083
23290,wilco,0.18905776158428472
21787,trip,0.18902071067465068
1694,armada,0.18899536122447066
6733,edit,0.18897932894654296
4416,coming,0.1887644593348395
9016,girl,0.18866952364212874
19425,solve,0.18860211353613665
13901,namco,0.18844007740923996
4700,consoles,0.18841844782262143
21182,think,0.1884133605144221
4054,circus,0.18838248206315733
12341,locate,0.1880988455737116
18333,scores,0.1879666434498877
18962,sim,0.18782636693727173
12717,maneuvers,0.187742324804963
9135,going,0.18747353948089943
22652,veronica,0.1871826961761694
3340,cable,0.18706828251996768
5314,customized,0.18682550275249812
5163,critically,0.18663203174954035
6273,dolphin,0.18654081463503544
843,actionpacked,0.18645470050182383
18017,rush,0.18635041485333098
6262,doing,0.18627926836381986
3786,champions,0.18592813040186026
1705,armored,0.18581835639125596
3430,canadian,0.18552508943191273
11690,killzone,0.18531280396979707
12890,material,0.18530852472965167
7024,enhance,0.18521925370019898
10705,indepth,0.185092803245527
15279,payne,0.1850074831886329
7457,experienced,0.184879578437142
15040,packed,0.18485746793024727
976,adventurers,0.18483440382813052
11750,known,0.1848333260033216
14816,organic,0.1848246634609574
10763,infestations,0.18465458190441733
20975,terrain,0.1846384770886952
5403,dancing,0.18452908252657377
20166,street,0.18452813155643424
16181,present,0.18442510705873452
11937,late,0.1844002914396853
21027,texture,0.18435744989420474
22791,vista,0.18409731914863398
20665,systems,0.18403005077069579
23755,youyou,0.18386393379881663
17011,receivers,0.1837480669812379
1754,artists,0.18357591915661592
823,acting,0.18346103195157043
3260,buried,0.18336188162992406
11923,laser,0.1831665782903694
10500,il2,0.18270761324356818
20881,techniques,0.18249742080519674
